concat(annotationID,' ',annotationURI)
145 info:doi/10.1371/annotation/01f180b4-f1d3-47a1-8b20-8cc7dffee187
147 info:doi/10.1371/annotation/01f834c4-f1ac-4ed4-93f4-67bb359cd2bf
149 info:doi/10.1371/annotation/01f9b298-c97d-4ce8-ab74-e6839d5ef75a
60487 info:doi/10.1371/annotation/020049dc-7bcf-4c87-81e8-79060833760c
87074 info:doi/10.1371/annotation/02047dbc-42d3-4478-8156-d3d894b8f5ae
151 info:doi/10.1371/annotation/020b1a55-c57f-466c-b6cc-7eda8415b7a3
153 info:doi/10.1371/annotation/020b8294-9e18-4197-9149-447f88f883d1
155 info:doi/10.1371/annotation/020bf2f2-8e81-41b5-959b-c74d37065653
57969 info:doi/10.1371/annotation/020c1e45-32e3-4b63-a8c3-87485ebe6e84
86688 info:doi/10.1371/annotation/0212c813-5a7f-4804-87ff-2b2a35bb8c18
79963 info:doi/10.1371/annotation/0217eaa8-4332-49e7-8641-0cdae1a3e23f
78063 info:doi/10.1371/annotation/02181ff4-e37e-4efa-b4f9-9e914ed53ce5
45025 info:doi/10.1371/annotation/02188026-192d-47d8-a3b6-340d9dcbb530
71005 info:doi/10.1371/annotation/021884e6-30bf-45e3-b796-d65fdf0a7865
66057 info:doi/10.1371/annotation/0219de83-2293-49c4-bb2d-2eba9592d06a
157 info:doi/10.1371/annotation/021a2525-b2d1-4f64-8299-09ee6d92b292
60921 info:doi/10.1371/annotation/021b8609-219d-40c5-8960-dedc4ee659f5
159 info:doi/10.1371/annotation/021c1479-79ac-4200-aaed-013dfced66d1
161 info:doi/10.1371/annotation/021f8bf6-0e13-4010-837c-d5991642dd27
163 info:doi/10.1371/annotation/0220e68e-b3ab-44f2-869c-1f59bbc11129
86435 info:doi/10.1371/annotation/02224ab6-8845-4723-96eb-dc97be292744
165 info:doi/10.1371/annotation/0223fd73-150f-4555-a98b-1774352e32c6
52521 info:doi/10.1371/annotation/022751ae-4fcf-4c5a-be33-47b357387f08
63783 info:doi/10.1371/annotation/0227b88a-49f9-4835-8533-c39028830d2a
81481 info:doi/10.1371/annotation/022927bd-f0af-432b-be4d-63c7d3c25dcf
68193 info:doi/10.1371/annotation/022e6d2b-ac5c-46c2-8dbd-9036484b5462
41065 info:doi/10.1371/annotation/023222b3-f92d-4c6f-a731-a529e2a33c1f
87702 info:doi/10.1371/annotation/0236f86b-44bf-435a-adb2-fb31d62dbd45
50915 info:doi/10.1371/annotation/023752d7-b1f9-4c6d-84aa-d22964c69a1e
167 info:doi/10.1371/annotation/02378564-ffb2-4df2-9b42-7455712cd75f
169 info:doi/10.1371/annotation/023a5995-0e71-42d5-b13a-5cd0f7bca3c3
